 , ,Abdominal Belt,Thoracic belt,Pulse Train Stimulation,Stimulation Gate,Flow Stim Box,Paw Stim Box,Accelerometer (X),Accelerometer (Y),Accelerometer (Z),Moment (X),Millar 1,Pulse Oximetry,PPG (PAT),Moment(Y),Moment(Z),Flow 2,Stim Gate,Millar, ,Flow Sensor Mouth,Flow Sensor Total,Tidal Volume Nose,Tidal Volume Mouth,Tidal Volume Total, ,Flow Sensor Mouth, ,Tidal Volume Nose,Flow Sensor Mouth,Tidal Volume Nose, , , ,Tidal Volume Mouth,Tidal Volume Mouth,Tidal Volume Nose,Tidal Volume Nose, 
Cmt Text,Cmt Time,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Cmt Text, ,Cmt Text,Cmt Text, , , , ,Cmt Text, ,Cmt Text, ,Cmt Time
InspStart-Analysis1,42:10.3,13.43751812,32.6638,-0.0006,0.0034375,-0.0166,6.8287,0.0994,-1.6,0.1403125,-1.4453,43.01,96.8125,-0.2903,-6.5234375,3.8671875,0.031065216,0.0034375,13.20425034,-0.016600894,0.031065216,0.014464322,7.69E-06,7.99E-05,0,-279.7086,Analysis Start,-0.016600894,Analysis Start,Analysis Start,7.69E-06, , , ,Analysis Start,7.99E-05,Analysis Start,7.69E-06,42:06.3
EffortNewEventStart,42:10.4,13.4237957,32.646,-0.0013,0.00375,1.4247,6.8404,0.0997,-1.6003,0.13875,-1.4063,42.755,96.8438,-0.5297,-6.5625,3.75,0.034616448,0.00375,12.82373047,1.424681664,0.034616448,1.459298134,0.000431043,9.57E-05,0.0004,-293.0107,Analysis Start,1.424681664,Analysis Start,Analysis Start,0.000431043, , , ,Analysis Start,9.57E-05,Analysis Start,0.000431043,42:06.3
VmaxNose-Analysis1,42:10.5,12.8556509,32.7862,-0.0006,0.0028125,10.0229,6.0235,0.0947,-1.5994,0.14,-1.2891,36.72,96.7813,-0.8691,-6.0546875,2.1875,-0.047188155,0.0028125,6.369769573,10.02288628,-0.047188155,9.975698471,0.012247744,0.000107094,0.0122,-148.568,Analysis Start,10.02288628,Analysis Start,Analysis Start,0.012247744, , , ,Analysis Start,0.000107094,Analysis Start,0.012247744,42:10.5
MaxNegPressure-Analysis1,42:11.6,26.71801949,29.3685,-0.0019,0.0028125,0.7628,6.8226,0.0612,-1.6,-0.245,-1.7969,3.995,96.7813,-0.5206,-7.109375,2.2265625,0.020990247,0.0028125,-27.06663895,0.762839913,0.020990247,0.783830166,0.058819603,0.000184658,0.0588,51.6357,Analysis Start,0.762839913,Analysis Start,Analysis Start,0.058819603, , , ,Analysis Start,0.000184658,Analysis Start,0.058819603,42:10.5
EffortNewEventEnd,42:12.5,13.69049931,34.1137,-0.0006,0.003125,4.5853,6.6834,-0.0144,-1.6003,0.15125,-0.5469,42.67,96.7813,-0.4753,-10.390625,10.5859375,0.129388794,0.003125,11.20360565,4.585339546,0.129388794,4.714728355,0.088477723,0.000171129,0.0885,-74.2102,Analysis Start,4.585339546,Analysis Start,Analysis Start,0.088477723, , , ,Analysis Start,0.000171129,Analysis Start,0.088477723,42:10.5
TVTotal-Analysis1,42:12.6,13.42012787,33.8116,-0.0016,0.0034375,0.0587,6.9964,0.0772,-1.6003,0.16625,-1.7188,43.7325,96.8125,-0.3838,-8.1640625,6.953125,0.096390091,0.0034375,12.09443283,0.058670688,0.096390091,0.155060783,0.091782801,0.000326944,0.0918,-67.4991,Analysis Start,0.058670688,Analysis Start,Analysis Start,0.091782801, , , ,Analysis Start,0.000326944,Analysis Start,0.091782801,42:10.5
InspEnd-Analysis1,42:12.6,13.41726208,33.8047,-0.0028,0.0053125,-0.1302,7.0047,0.0781,-1.5997,0.1384375,-1.9531,43.7325,96.8125,-0.3838,-8.359375,4.0234375,0.09447208,0.0053125,12.11279488,-0.130212158,0.09447208,-0.035740078,0.091778979,0.000330931,0.0918,-67.2241,Analysis Start,-0.130212158,Analysis Start,Analysis Start,0.091778979, , , ,Analysis Start,0.000330931,Analysis Start,0.091778979,42:10.5
InspStart-Analysis1,42:15.1,12.84447956,32.4444,-0.0006,0.0021875,-0.0021,6.8366,0.0484,-1.6003,0.1278125,-1.2109,43.265,96.8125,-0.3819,-5.9375,2.7734375,0.005984279,0.0021875,11.68888092,-0.002051948,0.005984279,0.003932331,4.94E-06,5.15E-07,0,-230.2055,Analysis Start,-0.002051948,Analysis Start,Analysis Start,4.94E-06, , , ,Analysis Start,5.15E-07,Analysis Start,4.94E-06,42:10.5
EffortNewEventStart,42:15.1,12.83475018,32.3796,-0.0006,0.0028125,4.0545,6.6522,0.0691,-1.6,0.115625,-1.1719,42.2025,96.7813,-0.29,-6.2890625,3.203125,0.040652666,0.0028125,10.7295599,4.054514885,0.040652666,4.095167637,0.002343682,3.84E-05,0.0023,-348.4889,Analysis Start,4.054514885,Analysis Start,Analysis Start,0.002343682, , , ,Analysis Start,3.84E-05,Analysis Start,0.002343682,42:10.5
VmaxNose-Analysis1,42:15.2,11.86693478,32.8096,-0.0022,0.004375,10.9009,5.9907,0.1081,-1.6003,0.0996875,-1.0547,37.57,96.8281,-0.1766,-6.9921875,0.546875,0.015195866,0.004375,5.62603569,10.90087414,0.015195866,10.91606998,0.014789434,7.70E-05,0.0148,-192.644,Analysis Start,10.90087414,Analysis Start,Analysis Start,0.014789434, , , ,Analysis Start,7.70E-05,Analysis Start,0.014789434,42:15.2
